0,,,
1,,,
25,,,
24,,,
23,,,
22,,,
21,,,
20,,,
19,,,
18,,,
17,,,
16,,,
15,,,
14,,,
13,,,
12,,,
11,,,
10,,,
9,,,
8,,,
7,,,
6,,,
5,,,
4,,,
3,,,
2,,,
1,,,
25,,,
24,,,
23,,,
22,,,
21,,,
20,,,
19,,,
18,,,
17,,,
16,,,
15,,,
14,,,
13,,,
12,,,
11,,,
10,,,
9,,,
8,,,
7,,,
6,,,
5,,,
4,,,
3,,,
2,,,
1,,,
25,00000000.288118,00000000.286471,00000000.352241
24,00000000.299554,00000000.295786,00000000.413683
23,00000000.311112,00000000.309824,00000000.379302
22,00000000.325231,00000000.323851,00000000.484927
21,00000000.339356,00000000.336022,00000000.417916
20,00000000.354993,00000000.352042,00000000.356565
19,00000000.372701,00000000.369581,00000000.530214
18,00000000.392228,00000000.391725,00000000.396365
17,00000000.412840,00000000.410564,00000000.414005
16,00000000.438286,00000000.436920,00000000.439191
15,00000000.465785,00000000.464394,00000000.466630
14,00000000.497487,00000000.495704,00000000.607800
13,00000000.534480,00000000.533492,00000000.665567
12,00000000.576355,00000000.575642,00000000.577344
11,00000000.627477,00000000.622933,00000000.628878
10,00000000.687317,00000000.684298,00000000.688724
9,00000000.761116,00000000.755146,00000000.955790
8,00000000.824333,00000000.823542,00000000.825879
7,00000000.935451,00000000.935130,00000000.960542
6,00000001.086660,00000001.085070,00000001.106470
5,00000001.294530,00000001.291800,00000001.296890
4,00000001.607330,00000001.605310,00000001.609560
3,00000002.131720,00000002.129790,00000002.136720
2,00000003.173050,00000003.169200,00000003.178620
1,00000006.290670,00000006.281240,00000006.303480
